import time: self [us] | cumulative | imported package
import time:       155 |        155 | winreg
import time:       171 |        171 |   _io
import time:        43 |         43 |   marshal
import time:       172 |        172 |   nt
import time:      1019 |       1404 | _frozen_importlib_external
import time:      1278 |       1278 |   time
import time:       487 |       1764 | zipimport
import time:        71 |         71 |     _codecs
import time:       894 |        965 |   codecs
import time:      1035 |       1035 |   encodings.aliases
import time:      1993 |       3991 | encodings
import time:       831 |        831 | encodings.utf_8
import time:        75 |         75 |   _codecs_kr
import time:        86 |         86 |   _multibytecodec
import time:      1625 |       1785 | encodings.cp949
import time:        63 |         63 | _signal
import time:        31 |         31 |     _abc
import time:       289 |        319 |   abc
import time:       279 |        597 | io
import time:        55 |         55 |       _stat
import time:       266 |        320 |     stat
import time:       851 |        851 |     _collections_abc
import time:        89 |         89 |       genericpath
import time:        99 |         99 |       _winapi
import time:       552 |        739 |     ntpath
import time:      1100 |       3009 |   os
import time:       116 |        116 |   _sitebuiltins
import time:        77 |         77 |   errno
import time:       745 |        745 |   encodings.utf_8_sig
import time:       967 |        967 |     pywin32_system32
import time:      2216 |       3182 |   pywin32_bootstrap
import time:       404 |        404 |   sitecustomize
import time:       278 |        278 |   usercustomize
import time:      2933 |      10741 | site
import time:       669 |        669 |     __future__
import time:       343 |        343 |               itertools
import time:       678 |        678 |               keyword
import time:        81 |         81 |                 _operator
import time:      1000 |       1081 |               operator
import time:       800 |        800 |               reprlib
import time:       122 |        122 |               _collections
import time:      2524 |       5545 |             collections
import time:        86 |         86 |             _functools
import time:      1567 |       7197 |           functools
import time:       994 |        994 |           types
import time:      2334 |      10524 |         enum
import time:        85 |         85 |           _sre
import time:       870 |        870 |             re._constants
import time:      1313 |       2183 |           re._parser
import time:       940 |        940 |           re._casefix
import time:      1768 |       4975 |         re._compiler
import time:       997 |        997 |         copyreg
import time:      1810 |      18305 |       re
import time:       723 |        723 |         linecache
import time:      1319 |       1319 |         textwrap
import time:       982 |        982 |         warnings
import time:      1121 |       1121 |         contextlib
import time:       833 |        833 |         _colorize
import time:      2488 |       7462 |       traceback
import time:       715 |        715 |         _weakrefset
import time:      1168 |       1882 |       weakref
import time:        43 |         43 |         _string
import time:      1246 |       1288 |       string
import time:      1477 |       1477 |       threading
import time:        53 |         53 |       atexit
import time:      3532 |      33996 |     logging
import time:        47 |         47 |       _typing
import time:      2883 |       2929 |     typing
import time:      1212 |      38804 |   streamlit.logger
import time:       723 |        723 |     copy
import time:        76 |         76 |           _json
import time:      1051 |       1127 |         json.scanner
import time:      1494 |       2621 |       json.decoder
import time:       928 |        928 |       json.encoder
import time:      1230 |       4778 |     json
import time:        79 |         79 |           _struct
import time:       920 |        999 |         struct
import time:        80 |         80 |         binascii
import time:       981 |       2059 |       base64
import time:      6026 |       6026 |         _hashlib
import time:        68 |         68 |           _blake2
import time:      1287 |       1355 |         hashlib
import time:      1508 |       8887 |       hmac
import time:        81 |         81 |         math
import time:        68 |         68 |           _bisect
import time:       765 |        832 |         bisect
import time:        47 |         47 |         _random
import time:      1349 |       2308 |       random
import time:      1409 |      14662 |     secrets
import time:      1058 |       1058 |             _ast
import time:      1903 |       2960 |           ast
import time:        69 |         69 |               _opcode
import time:      1174 |       1174 |               _opcode_metadata
import time:      1570 |       2812 |             opcode
import time:      1766 |       4578 |           dis
import time:      1010 |       1010 |             importlib
import time:       379 |       1389 |           importlib.machinery
import time:       682 |        682 |             token
import time:        80 |         80 |             _tokenize
import time:      1914 |       2675 |           tokenize
import time:      3247 |      14847 |         inspect
import time:       468 |        468 |         blinker._utilities
import time:      1196 |      16511 |       blinker.base
import time:       781 |      17291 |     blinker
import time:       843 |        843 |         urllib
import time:       285 |        285 |                   posix
import time:       284 |        284 |                   posix
import time:       602 |       1170 |                 posixpath
import time:       818 |       1988 |               fnmatch
import time:       101 |        101 |               zlib
import time:       893 |        893 |                 _compression
import time:      2120 |       2120 |                 _bz2
import time:      1381 |       4393 |               bz2
import time:      1843 |       1843 |                 _lzma
import time:      1096 |       2939 |               lzma
import time:      1849 |      11269 |             shutil
import time:      1437 |      12706 |           tempfile
import time:       758 |      13464 |         urllib.response
import time:      1309 |      15615 |       urllib.error
import time:       777 |        777 |         email
import time:      1277 |       1277 |           http
import time:       765 |        765 |               email.errors
import time:       876 |        876 |                   email.quoprimime
import time:       640 |        640 |                   email.base64mime
import time:       665 |        665 |                       quopri
import time:       846 |       1510 |                     email.encoders
import time:      1058 |       2568 |                   email.charset
import time:      1838 |       5920 |                 email.header
import time:       110 |        110 |                     _datetime
import time:       738 |        847 |                   datetime
import time:      1855 |       1855 |                     ipaddress
import time:      1821 |       3675 |                   urllib.parse
import time:       758 |        758 |                   email._parseaddr
import time:      1497 |       6776 |                 email.utils
import time:      1332 |      14027 |               email._policybase
import time:      1513 |      16304 |             email.feedparser
import time:      1141 |      17444 |           email.parser
import time:       734 |        734 |             email._encoded_words
import time:       571 |        571 |             email.iterators
import time:      1881 |       3186 |           email.message
import time:      3688 |       3688 |             _socket
import time:      1863 |       1863 |               select
import time:      1304 |       3166 |             selectors
import time:      3979 |      10832 |           socket
import time:      3120 |       3120 |             _ssl
import time:      2873 |       5993 |           ssl
import time:      2606 |      41335 |         http.client
import time:       704 |        704 |         nturl2path
import time:      2611 |      45426 |       urllib.request
import time:      1744 |       1744 |             _wmi
import time:      1251 |       2994 |           platform
